filename,ingredients,Missing Ingredients from existing classes
almond_walnuts.webp,"Almonds,Walnuts",
apple_fritters.jpg,"Apples,Lemon_juice,Flour,Sugar,Baking_powder,Salt,Milk,Butter,Eggs,Oil",
apple_orange.jpg,"Apples,Oranges",
apple_pie_ingredients.jpg,"Apples,Cinnamon,Butter,Flour,Sugar,Eggs",
avocado.jpg,"Avocado,Bananas,Pineapple,Milk,Spinach",
cabbage.jpg,"Carrot,Rice,Cabbage,Eggs,Pepper,Onion,Pork,Salt,Parsley,Marinara_sauce",Marinara Sauce
cashew_almond.jpg,"Cashews,Almonds",
cheesecake.jpg,"Sugar,Vanilla,Cream,Cheese,Eggs,Cracker",Cracker
chicken_thigh.jpg,"Chicken,Olive_oil,Salt,Pepper,BBQ_sauce,Onion_powder,Garlic_powder","BBQ Sauce,Onion Powder,Garlic Powder"
chocolate_milk.jpg,"Cocoa_powder,Milk,Vanillla_extract,Dates",
cloverleaf.jpg,"Water,Milk,Eggs,Salt,Milk,Sugar,Butter,Flour",Water
cookies.jpg,"Butter,Sugar,Eggs,Vanilla_extract,Flour,Salt,Pecans,Raspberry_jam","Pecans,Raspberry_jam"
creme_brulee.jpg,"Eggs,Sugar,Salt,Vanilla_extract,Cream",
cucumber.jpg,"Balsamic_vinegar,Garlic,Salt,Pepper,Cucumber,Avocado,Basil,Tomatoes,Mozarella_pearls",Mozarella Pearls
french_toast.jpg,"Eggs,Honey,Milk,Salt,Vanilla_Extract,Cinnamon,Butter",
italy_cookies.jpg,"Hazelnuts,Flour,Sugar,Salt,Cornstarch,Butter,Vanilla_extract",Hazelnuts
lemon_chicken.jpg,"Pepper,Salt,Lemon_zest,Flour,Minced_garlic,Chicken,Butter,Lemon_juice,Olive_oil",Minced_garlic
milk_eggs.jpg,"Milk,Eggs",
milk_flour_egg.jpg,"Milk,Flour,Eggs",
mushroom_egg.jpg,"Mushrooms,Eggs,Onions,Parsley",
pomegranate_orange.jpg,"Pomegranate,Oranges",
salt_pepper.jpg,"Salt,Pepper",
scrambled_egg.jpg,"Eggs,Milk,Salt,Butter",
steak_eggs.jpg,"Beef,Eggs,Potatoes,Olive_oil,Mushrooms,Bell_pepper,Onions,Paprika",
tortillas.jpg,"Flour,Salt,Butter,Baking_powder,Water",Water
